id_equipamento,ibge,uf,cidade,nome,responsavel,telefone,endereco,numero,complemento,referencia,bairro,cep,georef_location,data_atualizacao
28055003797,280550,SE,Poço Verde,"CRAS ""José Cardoso de Santana""",,,Veridiano José dos Santos  - 408,408,CASA,Próximo Posto Natuba.,CENTRO,49490000,"-10.707418192940706\,-38.182833194732666",2026-03-12T04:09:13.751Z
28056002396,280560,SE,Porto da Folha,CRAS - ANTÔNIO LOUREIRO FEITOSA - ANTÔNIO DO PAJEÚ,,,Minervino de Farias Lima - 1444,1444,CASA,"Avenida, próximo ao Colégio Estadual Maynard Gomes",CENTRO,49800000,"-9.915274915034013\,-37.27959394454957",2026-03-12T04:09:15.596Z
28056035697,280560,SE,Porto da Folha,CRAS INDÍGENA - ANTONIO ACACIO SANTIAGO SOBRINHO,,,ALDEIA XOKÓ ILHA DE SÃO PEDRO - 00,00,ZONA RURAL,"ALDEIA INDÍGENA XOKÓS - ILHA DE SÃO PEDRO, PRÓXIMO À ESCOLA ESTADUAL",ALDEIA INDÍGENA,49800000,"-9.819274379119692\,-37.38793373107911",2026-03-12T04:09:15.669Z
28057003788,280570,SE,Propriá,CRAS Dom José Brandão de Castro,,,Rua do Arame - 0,0,,EM FRENTE A MERCEARIA DE JACKSON DA ESTAÇÃO,CENTRO,49900000,"-10.210112757707256\,-36.83904111418087",2026-03-12T04:09:12.572Z
28057020013,280570,SE,Propriá,CRAS Santo Antonio,,,"Rua A, Da Antiga Delegacia - 0",0,predio,Antiga Delegacia,Conj. Maria do carmo,49900000,"-10.225993003492231\,-36.84490978717805",2026-03-12T04:09:15.518Z
28058004031,280580,SE,Riachão do Dantas,CRAS IZAILDE PRATA COSTA,,,JOSE LOPES DE ALMEIDA  - 295,295,,,CONJUNTO ALBANO FRANCO,49320000,"-11.069170941111436\,-37.725570201873786",2026-03-12T04:09:14.335Z
28059003594,280590,SE,Riachuelo,CRAS MARLENE ALVES DOS ANJOS,,,DA FRENTE - 1,1,CASA,,SÍTIO DO MEIO,49130000,"-10.727758363654173\,-37.186800241470344",2026-03-12T04:09:12.393Z
28060000876,280600,SE,Ribeirópolis,CRAS CENTRO DE REFERENCIA DE ASSISTENCIA SOCIAL MARIA DASVIRGENS BARRETO,,,Jose Ivandiarlei de Souza  - 0,0,S/N,px ao forum,CENTRO,49530000,"-10.533103255247921\,-37.43761897087098",2026-03-12T04:09:13.120Z
28061004061,280610,SE,Rosário do Catete,CRAS - IZAURA FERREIRA DANTAS,,,PADRE GILSON GARCIA - 0,0,,,CENTRO,49760000,"-10.70175706801972\,-37.03352808952332",2026-03-12T04:09:12.393Z
28062004040,280620,SE,Salgado,CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,,,JOAO DANTAS DE MENDONÇA - 00,00,,LOTEAMENTO FLORA BATISTA,CENTRO,49390000,"-11.02650863034689\,-37.47510015964509",2026-03-12T04:09:14.448Z
28063000928,280630,SE,Santa Luzia do Itanhy,CRAS SANTA LUZIA DO ITANHI,,,BARAO DO RIO BRANCO - 00,00,,"Próximo ao Mercado MuniCIPAL
",CENTRO,49230000,"-11.354099665103174\,-37.44899511282711",2026-03-12T04:09:13.751Z
28064020310,280640,SE,Santana do São Francisco,CRAS MURILO BATISTA DOS SANTOS,,,AVENIDA SÃO JOÃO - 0,0,,VIZINHO AO CONSELHO TUTELAR,CENTRO,49985000,"-10.291306838209648\,-36.60896561326808",2026-03-12T04:09:12.679Z
28065003592,280650,SE,Santa Rosa de Lima,CRAS - CASA DA FAMILIA,,,DEOCLIDES PAES DE AZEVEDO - 0,0,CASA,,CENTRO,49640000,"-10.648609033673965\,-37.19365596771241",2026-03-12T04:09:12.393Z
28066005072,280660,SE,Santo Amaro Das Brotas,CRAS CENTRO DE REFERENCIA DA ASSISTENCIA SOCIAL,,,Avenida Comendador Travassos - 32,32,,PRÓXIMO A PRAÇA DA IGREJA MATRIZ DE SANTO AMARO,CENTRO,49180000,"-10.787501736338186\,-37.05404376931256",2026-03-12T04:09:12.393Z
28067010546,280670,SE,São Cristóvão,CRAS SÃO CRISTÓVÃO,,,IRINEU NERY - 420,420,,,APICUM MEREN,49100000,"-11.009264393171092\,-37.21258163453172",2026-03-12T04:09:12.336Z
28067020102,280670,SE,São Cristóvão,CRAS GILSON PRADO BARRETO,,,RUA E - 110,110,,PRÓXIMO À FARMÁCIA PAGUE MENOS.,EDUARDO GOMES,49100000,"-10.921908638124222\,-37.1064090728811",2026-03-12T04:09:12.277Z
28068004863,280680,SE,São Domingos,CRAS MARIA DIAS DA COSTA,,,da Saudade - 130,130,,Próximo a pça da igreja Matriz.,centro,49525000,"-10.793007384000934\,-37.56815671920777",2026-03-12T04:09:15.596Z
28069003795,280690,SE,São Francisco,CRAS - CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL,,,JOSÉ DIAS GUIMARÃES - 304,304,,,CENTRO,49945000,"-10.3496581\,-36.8851236",2026-03-12T04:09:12.842Z
28070002375,280700,SE,São Miguel do Aleixo,CRAS CASA DAS FAMILIAS,,,OLIVEIRA CAMPOS - 22,22,,PRAÇA DA PREFEITURA,CENTRO,49535000,"-10.389516284993002\,-37.38186657428742",2026-03-12T04:09:13.397Z
28071004123,280710,SE,Simão Dias,CRAS I COMUNIDADE INTEGRADA,,,CELSO ZACARIAS DE CARVALHO - 1120,1120,,,CENTRO,49480000,"-10.74108757562894\,-37.81633079051972",2026-03-12T04:09:14.071Z
28071020452,280710,SE,Simão Dias,CRAS II VIVER MELHOR,,,CORONEL LOIOLA - 16,16,,Próximo aos Correios,CENTRO,49480000,"-10.736323069149682\,-37.810617685318",2026-03-12T04:09:14.071Z
28072006171,280720,SE,Siriri,CRAS VIVALDO MENEZES SANTOS,,,Nelson Monteiro - 237,237,CASA,,CENTRO,49630000,"-10.604684532068326\,-37.112352848052986",2026-03-12T04:09:12.515Z
28073006532,280730,SE,Telha,CRAS ALAIDE PEREIRA DA SILVA,,,RODOVIA MARINETE ALVES  - 00,00,CASA,,CENTRO,49910000,"-10.211615291003477\,-36.88466978099314",2026-03-12T04:09:12.842Z
28074010331,280740,SE,Tobias Barreto,CRAS RURAL,,,JOÃO ALVES FILHO - 310,310,0000,EM FRENTE AO COLÉGIO BBS,CENTRO,49300000,"-11.185706334218052\,-37.996537685394294",2026-03-12T04:09:13.688Z
28074020211,280740,SE,Tobias Barreto,CRAS II FRANCISCO DE ASSIS - CICI,,,JOSEFINA NOGUEIRA - 00,00,CASA,,Santa Rita,49300000,"-11.180991083943022\,-38.00497055053712",2026-03-12T04:09:15.596Z
28075002389,280750,SE,Tomar do Geru,CRAS - Angelita Soares Lima,,,Lagoa dos Carneiros - 0,0,,PROXIMO AO GINÁSIO DE ESPORTE,Centro,49280000,"-11.375647795967007\,-37.83869075781695",2026-03-12T04:09:13.751Z
