cnpj;tx_razao_social_osc;tx_nome_fantasia_osc;dt_fundacao_osc;removida_do_mosc;data_fechamento;ano_fechamento;tx_endereco_completo;municipio_nome;UF_Sigla;longitude;latitude;cnae;Area_Assistencia_social
39360028000175;ASSOCIACAO ILE AXE OYA ABERIM MESSA;;2020-09-14;não;;;RUA GUAJARAUNA144, VILA ANTONIO, São Paulo, SP, 05376070;S�O PAULO;SP;-46,7696558729996;-23,5810862479996;88006.0;1.0
39380896000117;ASSOCIACAO CASA DE RECUPERACAO REUNIDOS EM CRISTO;;2020-01-02;não;;;AREA RURAL - VIA DE ACESSO 8 - FAZENDA TATAUBA7419, AREA RURAL DE TAUBATE, Taubaté, SP, 12119899;TAUBAT�;SP;-45,5596962569997;-23,0109060979996;87204.0;1.0
39452684000106;ASSOCIACAO QUILOMBO ROSA;ASSOCIACAO QUILOMBO ROSA;2020-08-25;não;;;AVENIDA CARLOS ALBERTO FRAGNANI1064, PARQUE RESIDENCIAL VALLE VERDE, Araraquara, SP, 14809330;ARARAQUARA;SP;-48,1519603379996;-21,7309455879996;88006.0;1.0
39496889000185;INSTITUTO UNIDOS PELO BRASIL;;2020-08-21;não;;;RUA SAMUEL MORSE120, CIDADE MONCOES, São Paulo, SP, 04576060;S�O PAULO;SP;-46,6937798829996;-23,6115965069996;88006.0;1.0
39519024000197;INSTITUTO POLISIPO;INSTITUTO POLISIPO;2020-07-14;não;;;ESTRADA KIZAEMON TAKEUTI1489, APT   01, JARDIM GUACIARA, Taboão da Serra, SP, 06775002;TABO�O DA SERRA;SP;-46,7937684869996;-23,6388368479996;87204.0;1.0
39539005000122;INSTITUTO SOCIAL AMIGOS EM ACAO;;2020-04-01;não;;;RUA JOSE ANTONIO DOS SANTOS17, CASA  3 - E 30, JARDIM THOMAZ, São Paulo, SP, 05834120;S�O PAULO;SP;-46,7556028529996;-23,6707914329996;88006.0;1.0
39545613000140;JOVEM - JUVENTUDE OPEROSA VIGILANTE EM MOVIMENTO;;2020-07-30;não;;;RUA NITEMAR BORDA180, VILA CARAGUATA, São Paulo, SP, 04191200;S�O PAULO;SP;-46,6044245659996;-23,6474086069996;88006.0;1.0
39546681000123;CENTRO DE ESPECIALIDADES MEDICAS E ACOLHIMENTO INSTITUCIONAL - VILA DAS PIPAS;VILA DAS PIPAS;2020-06-24;não;;;AVENIDA MILTON CHRISTINE, 1848, LETRA A, VILA MIGUEL VICENTE CURY, Campinas, SP, 13081542;CAMPINAS;SP;-47,062403;-22,856703;87301.0;1.0
39564725000148;CASA DE REPOUSO LIRIO DA PAZ;;2019-11-08;não;;;AVENIDA COCA151, VILA CURUCA, São Paulo, SP, 08030000;S�O PAULO;SP;-46,4258740629996;-23,5007279139996;87115.0;1.0
39582955000130;CASA DA VO ADELIA;CASA DA VO ADELIA;2020-09-11;não;;;RUA GOITACAZES374, APT   52, CENTRO, São Caetano do Sul, SP, 09510300;S�O CAETANO DO SUL;SP;-46,5703151549996;-23,6157518589996;88006.0;1.0
